"property","title","description"
"","नेटवर्क संपर्क विस्तार","DCM4CHE मालकीचे नेटवर्क संपर्क विशेषता."
"dcmProtocol","प्रोटोकॉल","नेटवर्क संपर्काचा प्रोटोकॉल."
"dcmHTTPProxy","HTTP प्रॉक्सी","HTTP प्रॉक्सी : [user:password@]host:port."
"dcmTLSNeedClientAuth","TLS क्लायंट प्रमाणीकरण आवश्यक","दर्शविते की, TLS क्लायंट प्रमाणीकरण आवश्यक आहे."
"dcmTLSProtocol","TLS प्रोटोकॉल","समर्थित TLS प्रोटोकॉल."
"dcmTCPBacklog","TCP बॅकलॉग","येणाऱ्या TCP संपर्कांसाठी रांगेची कमाल लांबी."
"dcmTCPConnectTimeout","TCP संपर्क कालबाह्य","मिलिसेकंदांमध्ये TCP संपर्क कालबाह्य; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmTCPCloseDelay","TCP बंद करायचे विलंब","A-ASSOCIATE-RJ, A-RELEASE-RP किंवा A-ABORT PDU ला पाठवल्यावर TCP सॉकेटला बंद करण्यासाठी मिलिसेकंदांमध्ये विलंब."
"dcmTCPSendBufferSize","TCP पाठवलेला बफर आकार","TCP पाठवलेला बफर आकार; अनुपस्थित असल्यास सिस्टम डीफॉल्ट वापरा."
"dcmTCPReceiveBufferSize","TCP प्राप्ति बफर आकार","TCP प्राप्ति बफर आकार; अनुपस्थित असल्यास सिस्टम डीफॉल्ट वापरा."
"dcmTCPNoDelay","TCP विलंब नाही","TCP विलंब नाही को सक्षम / असक्षम करा (Nagle अल्गोरिथमला सक्षम / असक्षम करा)."
"dcmBindAddress","बाइंड पत्ता","सुननेवाले सॉकेट बाइंड करण्याचा पत्ता; अनुपस्थित असल्यास संपर्काचे होस्टनाव वापरा."
"dcmClientBindAddress","क्लायंट बाइंड पत्ता","बाहेर जाणाऱ्या संपर्कांना बाइंड करण्याचा पत्ता; अनुपस्थित असल्यास संपर्काचे होस्टनाव वापरा."
"dcmBlacklistedHostname","काळीसूचीबद्ध होस्टनाव","काळ्यासूचीतील DNS होस्टनावे."
"dcmSendPDULength","पाठवलेल्या PDUs ची लांबी","पाठवलेल्या PDUs ची कमाल लांबी."
"dcmReceivePDULength","प्राप्त PDU ची लांबी","प्राप्त PDUs ची कमाल लांबी."
"dcmMaxOpsPerformed","कमाल कार्य सादर","असमकालिक स्वरूपात कार्य सादर करण्यासाठी कमाल संख्या; ० = अमर्यादित."
"dcmMaxOpsInvoked","कमाल कार्य आवाहन","असमकालिक स्वरूपात कार्य आवाहन करण्यासाठी कमाल संख्या; ० = अमर्यादित."
"dcmPackPDV","PDV पॅक करा","एक P-DATA-TF PDU मध्ये कमांड आणि डेटा PDVs ना पॅक करण्यासाठी सक्षम / असक्षम करा."
"dcmAARQTimeout","AA-RQ कालबाह्य","TCP संपर्कांनंतर A-ASSOCIATE-RQ PDU ना प्राप्त करण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmAAACTimeout","AA-AC कालबाह्य","A-ASSOCIATE-RQ PDU पाठविल्यानंतर A-ASSOCIATE-AC PDU ना प्राप्त करण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmARRPTimeout","AR-RP कालबाह्य","A-RELEASE-RQ PDU पाठविल्यानंतर A-RELEASE-RP PDU ना प्राप्त करण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmSendTimeout","पाठविण्याचे कालबाह्य","C-STORE विनंत्यापेक्षा इतर DIMSE विनंत्या पाठविण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmStoreTimeout","स्टोअर कालबाह्य","C-STORE विनंत्या पाठविण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmResponseTimeout","प्रतिसाद कालबाह्य","C-GET किंवा C-MOVE प्रतिसादपेक्षा इतर DIMSE प्रतिसाद प्राप्त करण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmRetrieveTimeout","पुनर्प्राप्त कालबाह्य","थकबाकी C-GET किंवा C-MOVE प्रतिसाद प्राप्त करण्यासाठी मिलिसेकंदांमध्ये वेळ; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmIdleTimeout","निष्क्रिय कालबाह्य","निर्दिष्ट वेळेनंतर (मिलिसेकंदांमध्ये) निष्क्रिय संपर्कांना बंद करण्यासाठी दर्शविते; अनुपस्थित असल्यास कालबाह्य होणार नाही."
"dcmRetrieveTimeoutTotal","एकूण पुनर्प्राप्त कालबाह्य","थकबाकी C-GET आणि C-MOVE प्रतिसादांना अनिर्णीत प्रतिसादांच्या प्राप्त होण्यावर निर्दिष्ट कालबाह्यच्या टाइमरला पुन्हा सुरु केले जाईल (= नाही) किंवा नाही (= हो)."
