"property","title","description"
"","निर्यात नियम","निर्यात नियम."
"cn","नाव","निर्यात नियमाचे अनियंत्रित / अर्थपूर्ण नाव."
"dcmEntity","घटक निर्यात करा","घटकाचा निर्यात."
"dcmExporterID","निर्यातक ID","निर्यातक ID."
"dicomDeviceName","निर्यातक डिव्हाइसचे नाव","डिव्हाइस निर्दिष्ट करते ज्यावर निर्यात कार्य अनुसूचित केले जाईल. निर्दिष्ट न केल्यास, निर्यातीची कार्ये दृष्टांते प्राप्त झालेल्या डिव्हाइसवर अनुसूचित केले जाईल. लक्ष द्या : निर्दिष्ट ID चे निर्यातक निर्दिष्ट डिव्हाइसेसवर असणे आवश्यक आहे!"
"dcmExportPreviousEntity","पूर्वीचा घटक निर्यात करा","पुनर्स्थित केलेल्या दृष्टांताच्या पूर्वीचे घटकदेखील निर्यात करण्यास दर्शविते."
"dcmProperty","विशेषता अटी","विशेषता अटी या प्रारूपात (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. कुठल्याही दिलेल्या विशेषतासाठी एकापेक्षा अधिक मूल्य निर्दिष्ट करण्यासाठी त्यांना | प्रतीकेचा वापर करून वेगळे केले जाऊ शकते. उदाहरण : SendingApplicationEntityTitle=FORWARD किंवा Modality=MR|CT किंवा ProcedureCodeSequence.CodeValue=MRProcedure किंवा 00180015=KNEE किंवा 00321034.00080100=RequestingServiceCode किंवा ImageType[3]=LOCALIZER"
"dcmSchedule","वेळ अटी","हा नियम केवळ निर्दिष्ट कालावधी दरम्यान लागू करा."
"dcmDuration","निर्यात विलंब","एका निर्यात कार्यामध्ये एकाधिक ट्रिगर इव्हेंट जमा करण्यासाठी घटकांची निर्यात विलंब."
"dcmExportReoccurredInstances","पुन्हा प्राप्त झालेले दृष्टांते निर्यात करा","सूचित करते की प्राप्त झालेले दृष्टांते पुन्हा प्राप्त झाल्यावर घटक निर्यात करा."
