"property","title","description"
"","कीक्लोक क्लायंट","कीक्लोक क्लायंट."
"dcmKeycloakClientID","कीक्लोक क्लायंट ID","टोकन विनंत्यांमध्ये वापरलेला कीक्लोक क्लायंट ID."
"dcmURI","सर्व्हर URL","कीक्लोक सर्व्हरची मूळ URL."
"dcmKeycloakRealm","कीक्लोक क्षेत्र","टोकन विनंत्यांमध्ये वापरलेला क्षेत्राचे नाव."
"dcmKeycloakGrantType","कीक्लोक अनुदान प्रकार","टोकन विनंत्यांमध्ये वापरलेला कीक्लोक अनुदान प्रकार."
"dcmKeycloakClientSecret","OAuth क्लायंट गुप्त","OAuth क्लायंट गुप्त. OAuth 2.0 अनुदान प्रकार 'client_credentials' संच केलेले असल्यास, आवश्यक आहे."
"dcmTLSAllowAnyHostname","TLS कोणत्याही होस्टला परवानगी द्या","अन्य सर्व्हरला HTTPS आवश्यक असल्यास आणि हा कॉन्फिगरेशन पर्याय 'हो' म्हणून संच केले असल्यास, अन्य सर्व्हरचे प्रमाणपत्रला ट्रस्टस्टोरद्वारे मान्य केले जाईल, पण होस्टच्या नावाची मान्यता केले जाणार नाही."
"dcmTLSDisableTrustManager","TLS ट्रस्ट मैनेजरला असक्षम करा","अन्य सर्व्हरला HTTPS आवश्यक असल्यास आणि हा कॉन्फिगरेशन पर्याय 'हो' म्हणून संच केले असल्यास, ट्रस्टस्टोरला निर्दिष्ट करायची आवश्यकता नाही."
"uid","वापरकर्ता ID","वापरकर्ता ID. कीक्लोक अनुदान प्रकार को 'password' संच केलेले असल्यास, आवश्यक आहे."
"userPassword","वापरकर्ता पासवर्ड","वापरकर्ता पासवर्ड. कीक्लोक अनुदान प्रकार 'password' संच केलेले असल्यास, आवश्यक आहे."
