"property","title","description"
"","नेटवर्क AE","नेटवर्कवर सेवा प्रदान करणारे अनुप्रयोग घटक."
"dicomAETitle","AE चे शीर्षक","या नेटवर्क AE चे अद्वितीय शीर्षक."
"dicomNetworkConnectionReference","नेटवर्क संपर्क संदर्भ","या नेटवर्क AE द्वारे वापरलेले नेटवर्क संपर्क ऑब्जेक्ट चे जेसन पॉईंटर्स."
"dicomAssociationInitiator","संपर्क सुरू करणारा","'हो' असल्यास हा नेटवर्क AE संपर्क सुरू करू शकतो."
"dicomAssociationAcceptor","संपर्क स्वीकारकर्ता","'हो' असल्यास हा नेटवर्क AE संपर्क स्वीकारू शकतो."
"dicomDescription","AE चे वर्णन","अनुप्रयोग घटकाचे अनियंत्रित मजकूर वर्णन."
"dicomApplicationCluster","अनुप्रयोग क्लस्टर","संबंधित अनुप्रयोगांच्या उपसेटसाठी स्थानिकरित्या परिभाषित नावे."
"dicomPreferredCalledAETitle","प्राधान्यीकृत बोलावलेल्या AE चे शीर्षक","संपर्क सुरू करण्यासाठी प्राधान्यीकृत AE चे शीर्षक."
"dicomPreferredCallingAETitle","प्राधान्यीकृत बोलावणाऱ्या AE चे शीर्षक","संपर्क स्वीकारण्यासाठी प्राधान्यीकृत AE चे शीर्षक."
"dicomSupportedCharacterSet","समर्थित कॅरक्टर सेट","डेटासेट्स प्राप्त होण्यावर नेटवर्क AE द्वारा समर्थित कॅरक्टर सेट्स."
"dicomInstalled","स्थापित","'हो' असल्यास हा नेटवर्क AE या नेटवर्कवर स्थापित आहे. उपस्थित नसल्यास, नेटवर्क AE च्या स्थापित स्थितीबद्दल माहिती डिव्हाइसमधून प्राप्त केली जाते."
"dicomTransferCapability","हस्तांतरण क्षमता","अनुप्रयोग घटकाद्वारे प्रदान केलेल्या हस्तांतरण क्षमता."
"dcmNetworkAE","नेटवर्क AE विस्ताऱ","DCM4CHE मालकी नेटवर्क AE चे गुणधर्म."
