"property","title","description"
"","UI कॉन्फिगरेशन","UI कॉन्फिगरेशन"
"dcmuiConfigName","UI कॉन्फिगरेशनचे नाव","UI कॉन्फिगरेशनचे नाव"
"dcmuiModalities","आकडेवारी मोडेलिटीज","आधी निवडलेले मोडेलिटीज जे आकडेवारी पेजमध्ये दिसले पाहिजेत."
"dcmuiLanguageConfig","भाषा कॉन्फिगरेशन","UI च्या भाषा कॉन्फिगर करा."
"dcmuiWidgetAets","विजेट AET","त्या AET ना निवडा जे AET विजेटमध्ये दिसले पाहिजेत, ज्यामध्ये नवीन जोडलेल्या AET ना स्वीकृत बोलवणाऱ्या AET च्या रूपात वापरले जाईल, हे तुम्ही निवडूशकता."
"dcmuiBackgroundURL","पार्श्वभूमी URL","UI ची पार्श्वभूमी बदलण्यासाठी पार्श्वभूमी URL, ते संबंधित किंवा निरपेक्ष URL असू शकते, प्रतिमेची रूंदी कमीत कमी १०२४px असावी."
"dcmuiLogoURL","लोगो URL","UI चा लोगो बदलण्यासाठी लोगो URL, यह संबंधित किंवा निरपेक्ष URL असू शकते, प्रतिमेची रूंदी १४० पिक्सेल (140px) असावी आणि पारदर्शक पार्श्वभूमीसह png स्वरूपात असावी."
"dcmuiDefaultWidgetAets","डिफ़ॉल्ट विजेट AET","त्या AET ना निवडा, जे विजेट AET वर आधी निवडले गेले पाहिजेत."
"dcmuiAetConfig","AET ची यादी","UI मध्ये AET ची यादी, ज्यामध्ये शीर्षस्थानी कोणते AET दृश्यमान असावेत, ते परिभाषित करा."
"dcmuiWebAppConfig","वेब अनुप्रयोगांची यादी","UI मध्ये वेब अनुप्रयोगांची यादी, ज्यामध्ये शीर्षस्थानी कोणते वेब अनुप्रयोग दृश्यमान असावेत, ते परिभाषित करा."
"dcmuiPermission","परवानगी","परवानगी."
"dcmuiFilterTemplateObject","UI फिल्टर साचा","परिभाषित फिल्टर साचा."
"dcmuiDiffConfig","अभ्यासांची तुलना करणारी कॉन्फिगरेशन","अभ्यासांची तुलना करणारी कॉन्फिगरेशन."
"dcmuiDashboardConfig","UI डॅशबोर्ड कॉन्फिगरेशन","UI डॅशबोर्ड कॉन्फिगरेशन."
"dcmuiStudyTableConfig","UI अभ्यास टेबल कॉन्फिगरेशन","टेबलची कॉन्फिगरेशन."
"dcmuiElasticsearchConfig","UI इलास्टिकसर्च कॉन्फिगरेशन","प्रो आवृत्तीसाठी इलास्टिकसर्च कॉन्फिगरेशन."
"dcmuiDeviceURLObject","UI डिव्हाइस URL","इतर UI डिव्हाइस URL."
"dcmuiDeviceClusterObject","UI क्लस्टर कॉन्फिगरेशन","डिव्हाइसेसना क्लस्टरमध्ये समूहित करा."
