"property","title","description"
"","UI डॅशबोर्ड कॉन्फिगरेशन","UI डॅशबोर्ड कॉन्फिगरेशन."
"dcmuiDashboardConfigName","UI डॅशबोर्ड कॉन्फिगरेशनचे नाव","UI डॅशबोर्ड कॉन्फिगरेशनचे नाव."
"dcmuiShowStarBlock","स्टार ब्लॉक दर्शवा","स्टार ब्लॉक दर्शवा - परिभाषित डिव्हाइसनावाशिवाय कार्यांसाठी."
"dcmuiQueueName","रांगेचे नाव","रांगेच्या ब्लॉकमध्ये वापरलेल्या UI डॅशबोर्ड कॉन्फिगरेशनमध्ये रांगेचे नाव."
"dcmuiExportName","निर्यातक ID","रांगेच्या आणि बाजूंची तुलना करणाऱ्या ब्लॉक्समध्ये वापरलेल्या UI डॅशबोर्ड कॉन्फिगरेशनमध्ये निर्यातकचे ID."
"dicomuiDeviceName","डिवाइसेस के नाम","पुनर्प्राप्त आणि निर्यात ब्लॉक्स व्युत्पन्न करण्यासाठी वापरली जाणारी UI डॅशबोर्ड कॉन्फिगरेशनमध्ये डिव्हाइसचे नाव."
"dicomuiIgnoreParams","ऑडिट इव्हेंट मापदंडांकडे दुर्लक्ष करा","ऑडिट इव्हेंटमध्ये दुर्लक्ष केले जाऊ शकतात अशा इलास्टिकसर्च मापदंड संच करा, उदाहरण : Source.UserID=TESTVALUE."
"dcmuiCountAET","गणना वेब अनुप्रयोग","डॅशबोर्डमध्ये अभ्यासाची गणना मिळविण्यासाठी निवडलेले वेब अनुप्रयोग वापरले जाईल."
"dcmuiCompareSideObjects","बाजूंची तुलना करा","बाजूंची तुलना करा."
"dicomuiDockerContainer","संग्रहण डॉकर कंटेनर","हार्डवेयर पेजमध्ये वापरल्या जाणार्‍या संग्रहण डॉकर कंटेनर्सचे नाव."
