"property","title","description"
"","UI तुलना कॉन्फिगरेशन","UI तुलना कॉन्फिगरेशन."
"dcmuiDiffConfigName","UI तुलना कॉन्फिगरेशनचे नाव","UI तुलना कॉन्फिगरेशनचे नाव."
"dcmuiDiffCallingAET","तुलना बोलावणारा AET","तुलना बोलावणारा AET."
"dcmuiDiffPrimaryCFindSCP","UI तुलना प्राथमिक C-FIND SCP","UI तुलना प्राथमिक C-FIND SCP."
"dcmuiDiffPrimaryCMoveSCP","UI तुलना प्राथमिक C-MOVE SCP","UI तुलना प्राथमिक C-MOVE SCP."
"dcmuiDiffPrimaryCStoreSCP","UI तुलना प्राथमिक C-STORE SCP","UI तुलना प्राथमिक C-STORE SCP."
"dcmuiDiffSecondaryCFindSCP","UI तुलना दुय्यम C-FIND SCP","UI तुलना दुय्यम C-FIND SCP."
"dcmuiDiffSecondaryCMoveSCP","UI तुलना दुय्यम C-MOVE SCP","UI तुलना दुय्यम C-MOVE SCP."
"dcmuiDiffSecondaryCStoreSCP","UI तुलना दुय्यम C-STORE SCP","UI तुलना दुय्यम C-STORE SCP."
"dcmuiDiffCriteria","UI तुलना मापदंड","UI तुलना मापदंड."
