"property","title","description"
"","UPS समाप्तीवर पुन्हा UPS निर्माण करायचे नियम","UPS समाप्तीवर पुन्हा युनिफाइड वर्कलिस्ट मध्ये वर्क आयटम ला निर्माण करा."
"dcmUPSOnUPSCompletedID","UPS समाप्तीवर पुन्हा UPS निर्माण करायचे नियमाची ID.","दृष्टांतांच्या साठवण्यावर UPS नियमाची ID."
"dcmUPSPerformedWorkitemCode","सादर झालेला वर्क आयटम कोड","समाप्त झालेल्या UPS चा सादर झालेला वर्क आयटम कोड क्रम (००४०,४०१९) चा आयटम, या प्रारूपात (CV, CSD, ""CM"") जो या नियमाला ट्रिगर करतो."
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","तयार केलेल्या UPS मध्ये प्रक्रियेच्या स्टेप लेबलचे मूल्य (००७४,१२०४). पूर्वीचा UPS रेकॉर्डच्या डेटासेटमधील {attributeID} च्या मूल्याने बदलले जाईल. उदाहरण : {StudyDescription}."
"dcmUPSWorklistLabel","वर्कलिस्ट लेबल","तयार केलेल्या UPS मध्ये कार्यसूची लेबलचे मूल्य (००७४,१२०२). पूर्वीचा UPS रेकॉर्डच्या डेटासेटमधील {attributeID} च्या मूल्याने बदलले जाईल. उदाहरण : {StudyDescription}."
"dcmUPSPriority","अग्रक्रम","तयार केलेल्या UPS मध्ये अनुसूचित प्रक्रियेच्या स्टेप प्राधान्यचे मूल्य (००७४,१२००). गणित मूल्ये: HIGH, MEDIUM, LOW. गैरहजर राहिल्यास, MEDIUM लागू केले जाईल."
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिती","तयार केलेल्या UPS मध्ये इनपुट तत्परता स्थितीचे (००४०,४०४१) मूल्य."
"dcmUPSStartDateTimeDelay","अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख आणि वेळ विलंब","प्राप्त झालेल्या वेळेपासून अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख आणि वेळेचे विलंब (००४०,४००५) या प्रारूपात PnDTnHnMn.nS. अनुपस्थित असल्यास, कोणतीही विलंब लागू होणार नाही."
"dcmUPSCompletionDateTimeDelay","अपेक्षित पूर्ण होण्याची तारीख आणि वेळ विलंब","प्राप्त झालेल्या वेळेपासून अपेक्षित पूर्ण होण्याची तारीख आणि वेळेचे विलंब (००४०,४०११) या प्रारूपात PnDTnHnMn.nS. अनुपस्थित असल्यास, कोणतीही अपेक्षित समाप्ती तारीख आणि वेळ संच केला जाणार नाही."
"dcmDestinationAE","गंतव्य AE","DICOM अनुप्रयोग घटकाचे शीर्षक ज्यामध्ये दृष्टांते साठवले जातील."
"dcmEntity","जमा होण्याची व्याप्ती","जमा होण्याची व्याप्ती."
"dcmUPSScheduledWorkitemCode","अनुसूचित वर्कआयटम कोड","तयार केलेल्या UPS मधील अनुसूचित वर्कआयटम कोड क्रमचे (००४०,४०१८) आयटम या प्रारूपात (CV, CSD, ""CM"")."
"dcmUPSScheduledStationNameCode","अनुसूचित स्टेशन नाव कोड","तयार केलेल्या UPS मधील अनुसूचित स्टेशन नाव कोड क्रमचे (००४०,४०२५) आयटम या प्रारूपात (CV, CSD, ""CM"")."
"dcmUPSScheduledStationClassCode","अनुसूचित स्टेशन वर्ग कोड","तयार केलेल्या UPS मधील अनुसूचित स्टेशन वर्ग कोड क्रमचे (००४०,४०२६) आयटम या प्रारूपात (CV, CSD, ""CM"")."
"dcmUPSScheduledStationLocationCode","अनुसूचित स्टेशन भौगोलिक स्थान कोड","तयार केलेल्या UPS स्वरूपात अनुसूचित स्टेशन भौगोलिक स्थान कोड क्रम (००४०,४०२७) चे आयटम या प्रारूपात (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerCode","अनुसूचित मानव परफॉर्मर कोड","तयार केलेल्या UPS मधील अनुसूचित मानवी परफॉर्मर्स क्रममधील (००४०,४०३४) मानवी परफॉर्मर कोड क्रमचे (००४०,४००९) आयटम या प्रारूपात (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerName","अनुसूचित मानवी परफॉर्मर नाव","तयार केलेल्या UPS मध्ये अनुसूचित मानवी परफॉर्मर्स सीक्वेन्स (००४०,४०३४) च्या आयटममधील मानवी परफॉर्मरचे नाव (००४०,४०३७). पूर्वीचा UPS रेकॉर्डच्या डेटासेटमधील {attributeID} च्या मूल्याने बदलले जाईल. उदाहरण : {PerformingPhysicianName}."
