"property","title","description"
"","वेब अनुप्रयोग","वेब अनुप्रयोगाची माहिती."
"dcmWebAppName","वेब अनुप्रयोगाचे नाव","वेब अनुप्रयोगाचे नाव."
"dicomNetworkConnectionReference","वेब अनुप्रयोग नेटवर्क संपर्क","नेटवर्क संपर्क ज्यावर वेब अनुप्रयोगाची सेवा उपलब्ध आहे."
"dicomDescription","वेब अनुप्रयोगाचे वर्णन","वेब अनुप्रयोगाचे अनियंत्रित मजकूर वर्णन."
"dcmWebServicePath","वेब सेवा पथ","वेब अनुप्रयोगाच्या सेवांचा HTTP पथ."
"dcmWebServiceClass","वेब सेवा वर्ग","वेब अनुप्रयोगाद्वारे प्रदान केलेली वेब सेवा वर्ग."
"dcmKeycloakClientID","कीक्लोक क्लायंट ID","वेब अनुप्रयोगासाठी कीक्लोक क्लायंट ID"
"dicomAETitle","AE चे शीर्षक","या वेब अनुप्रयोगाशी संबंधित नेटवर्क AE चे शीर्षक."
"dicomApplicationCluster","अनुप्रयोग क्लस्टर","संबंधित अनुप्रयोगांच्या उपसेटसाठी स्थानिकरित्या परिभाषित नावे."
"dcmProperty","गुणधर्म","गुणधर्म या प्रारूपात <नाव>=<मूल्य>. उदाहरण: roles=<accepted-user-role>[,...], IID_PATIENT_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType=PATIENT&patientID={{patientID}} किंवा IID_STUDY_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType=STUDY&studyUID={{studyUID}}, (इतर वैध मापदंड : 'patientBirthDate' आणि 'accessionNumber' आहेत), 'IID_URL_TARGET=_blank|_self' मापदंड लागू करून तुम्ही URL च्या लक्ष्यला परिभाषित करू शकता."
"dicomInstalled","स्थापित","'सत्य' असल्यास वेब अनुप्रयोग नेटवर्कवर स्थापित आहे. उपलब्ध नसल्यास, वेब अनुप्रयोगाच्या स्थापित स्थितीबद्दलची माहिती डिव्हाइसमधून प्राप्त केली जाईल."
