"property","title","description"
"","Storage","Storage Descriptor"
"dcmStorageID","Storage ID","Storage ID"
"dcmURI","Storage URI","RFC2079: Uniform Resource Identifier"
"dcmDigestAlgorithm","Digest Algorithm","Algorithm for generation of check sums."
"dcmMaxRetries","Maximum Number of Retries","Maximum number of retries to store an object on the storage system."
"dcmRetryDelay","Retry Delay","Delay to retry to store an object on the storage system in ISO-8601 duration format PnDTnHnMn.nS. Retry immediately if absent."
"dcmInstanceAvailability","Instance Availability","Instance Availability."
"dcmStorageDuration","Storage Duration","Indicates if the Storage is used as permanent (=PERMANENT), cache (=CACHE) or temporary (=TEMPORARY) storage. Objects get purged from cache and temporary storage according configured deleter thresholds or - if no deleter threshold is specified and no Retention Periods are configured - all objects on the Storage will get purged. In the case of temporary storage, the studies which objects were purged are also deleted from the database."
"dcmReadOnly","Read Only","Indicates if a Storage System is read only."
"dcmStorageClusterID","Storage Cluster ID","Identifies a Storage to belong to a Storage Cluster. Objects of one Study may be distributed over Storage Systems of one Storage Cluster. Used by threshold triggered deletion."
"dcmStorageThreshold","Storage Threshold","Minimal Usable Space on Storage System. If the usable space falls below that value the Storage System will be marked as full by setting Storage Threshold Exceeds to the current time and - if Storage Threshold Exceeds Permanently is true - the Storage System will be removed from the list of configured Storage Systems of the Network AE requesting that Storage System. Format nnn(MB|GB|MiB|GiB)"
"dcmStorageThresholdExceeded","Storage Threshold Exceeded","Date and time in format YYYYMMDDHHMMSS.FFFFFF when the Storage Threshold exceeded."
"dcmStorageThresholdExceedsPermanently","Storage Threshold Exceeds Permanently","Indicates to removed the Storage System from the list of configured Storage Systems of the Network AE requesting that Storage System when the Storage Threshold exceeds."
"dcmNoDeletionConstraint","No Deletion Constraint","Delete Studies from cache/temporary Storage System, if no Deleter Threshold and no other deletion constraint is configured."
"dcmDeleterThreshold","Deleter Threshold","Minimal Usable Space on Storage System to trigger deletion. If present, studies are deleted from the Storage System configured for cache (Storage Duration = CACHE) or temporary (Storage Duration = TEMPORARY) storage, if the usable space fall below that value. Format [nn'['<schedule>']']nnn(MB|GB|MiB|GiB)."
"dcmDeleteStudiesOlderThan","Delete Studies Older Than","Delete Studies from the Storage System configured for cache (dcmStorageDuration=CACHE) or temporary (dcmStorageDuration=TEMPORARY) storage, if their Study Date is longer ago than the specified value in ISO-8601 period format. Format [nn""[""<schedule>""]""](PnYnMnD|PnW)."
"dcmDeleteStudiesReceivedBefore","Delete Studies Received Before","Delete Studies from the Storage System configured for cache (dcmStorageDuration=CACHE) or temporary (dcmStorageDuration=TEMPORARY) storage, if they were received longer ago than the specified value in ISO-8601 period format. Format [nn""[""<schedule>""]""](PnYnMnD|PnW)."
"dcmDeleteStudiesNotUsedSince","Delete Studies Not Used Since","Delete Studies from the Storage System configured for cache (dcmStorageDuration=CACHE) or temporary (dcmStorageDuration=TEMPORARY) storage, if they were last accessed longer ago than the specified value in ISO-8601 period format. Format [nn""[""<schedule>""]""](PnYnMnD|PnW)."
"dcmDeleterThreads","Deleter Threads","Number of Threads used for deletion of objects from the Storage System."
"dcmExternalRetrieveAET","External Retrieve AETs","Constrains deletion of Studies, additionally to configured deleter thresholds and/or deletion retention period constraints, from the Storage System to Studies which objects are retrievable using one of the AEs from an external C-MOVE SCP."
"dcmExportStorageID","Export Storage ID","Constrains deletion of Studies, additionally to configured deleter thresholds and/or deletion retention period constraints, from the Storage System to Studies which objects are also accessible from the specified other storage."
"dcmRetrieveCacheStorageID","Retrieve Cache Storage ID","Specifies another Storage to which objects are copied in parallel on retrieve to increase the performance on accessing storage systems which provides more bandwidth using multiple connections in parallel."
"dcmRetrieveCacheMaxParallel","Retrieve Cache Max Parallel","Maximal number of parallel copies to cache storage on retrieve. Only effective if a Retrieve Cache Storage ID is configured."
"dcmProperty","Storage Property","Property in format <name>=<value>"
