"property","title","description"
"","UPS on Store","Create/Update Workitem in unified Worklist on receive of Composite Object"
"dcmUPSOnStoreID","UPS on Store ID","ID of UPS on Store Rule"
"dcmProperty","Conditions","Conditions in format (SendingHostname|SendingApplicationEntityTitle|ReceivingHostname|ReceivingApplicationEntityTitle|{AttributeTagOrKeyword[number]}|{SequenceTagOrKeyword.AttributeTagOrKeyword})[!]={regEx}. More than one value can be specified for a given attribute by separating them with a | symbol. Examples: SendingApplicationEntityTitle=FORWARD or Modality=MR|CT or ProcedureCodeSequence.CodeValue=MRProcedure or 00180015=KNEE or 00321034.00080100=RequestingServiceCode or ImageType[3]=LOCALIZER"
"dcmSchedule","Time Conditions","Apply this rule only within specified time ranges."
"dcmUPSLabel","Procedure Step Label","Value of Procedure Step Label (0074,1204) in created UPS. {attributeID} will be replaced by the value of that attribute in the received dataset. Example: {StudyDescription}"
"dcmUPSWorklistLabel","Worklist Label","Value of Worklist Label (0074,1202) in created UPS. {attributeID} will be replaced by the value of that attribute in the received dataset. Example: {StudyDescription}"
"dcmUPSPriority","Priority","Value of Scheduled Procedure Step Priority (0074,1200) in created UPS. Enumerated Values: HIGH, MEDIUM, LOW. If absent, MEDIUM will be applied."
"dcmUPSInputReadinessState","Input Readiness State","Value of Input Readiness State (0040,4041) in created UPS"
"dcmUPSStartDateTimeDelay","Scheduled Procedure Step Start DateTime Delay","Delay of Scheduled Procedure Step Start DateTime (0040,4005) in created UPS from receive time in format PnDTnHnMn.nS. No delay if absent."
"dcmUPSCompletionDateTimeDelay","Expected Completion DateTime Delay","Delay of Expected Completion DateTime (0040,4011) in created UPS from receive time in format PnDTnHnMn.nS. If absent, no Expected Completion Date and Time will be set."
"dcmUPSInstanceUIDBasedOnName","UPS Instance UID based on name","Value used to generate name based SOP Instance UID (0008,0018) in created UPS. Typically, the value will include {StudyInstanceUID}, {SeriesInstanceUID} or {SOPInstanceUID} to create a different UPS for each received Study, Series or Object. If absent, a random generated SOP Instance UID (0008,0018) will be used."
