"property","title","description"
"","UPS Template","UPS Template"
"dcmUPSTemplateID","UPS Template ID","ID of UPS Template"
"dcmUPSLabel","Procedure Step Label","Value of Procedure Step Label (0074,1204) in created UPS."
"dcmUPSWorklistLabel","Worklist Label","Value of Worklist Label (0074,1202) in created UPS."
"dcmUPSPriority","Priority","Value of Scheduled Procedure Step Priority (0074,1200) in created UPS. Enumerated Values: HIGH, MEDIUM, LOW. If absent, MEDIUM will be applied."
"dcmUPSInputReadinessState","Input Readiness State","Value of Input Readiness State (0040,4041) in created UPS"
"dcmUPSStartDateTimeDelay","Scheduled Procedure Step Start DateTime Delay","Delay of Scheduled Procedure Step Start DateTime (0040,4005) in created UPS from receive time in format PnDTnHnMn.nS. No delay if absent."
"dcmUPSCompletionDateTimeDelay","Expected Completion DateTime Delay","Delay of Expected Completion DateTime (0040,4011) in created UPS from receive time in format PnDTnHnMn.nS. If absent, no Expected Completion Date and Time will be set."
"dcmDestinationAE","Destination AE","Value of Destination AE (2100,0140) in created UPS."
"dcmEntity","Scope of Accumulation","Scope of Accumulation"
"dcmUPSScheduledWorkitemCode","Scheduled Workitem Code","Item of Scheduled Workitem Code Sequence (0040,4018) in created UPS in format (CV, CSD, ""CM"")."
"dcmUPSScheduledStationNameCode","Scheduled Station Name Code","Item of Scheduled Station Name Code Sequence (0040,4025) in created UPS in format (CV, CSD, ""CM"")."
"dcmUPSScheduledStationClassCode","Scheduled Station Class Code","Item of Scheduled Station Class Code Sequence (0040,4026) in created UPS in format (CV, CSD, ""CM"")."
"dcmUPSScheduledStationLocationCode","Scheduled Station Geographic Location Code","Item of Scheduled Station Geographic Location Code Sequence (0040,4027) in created UPS in format (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerCode","Scheduled Human Performer Code","Item of Human Performer Code Sequence (0040,4009) in Item of Scheduled Human Performers Sequence (0040,4034) in created UPS in format (CV, CSD, ""CM"")."
"dcmUPSScheduledHumanPerformerName","Scheduled Human Performer Name","Value of Human Performer's Name (0040,4037) in Item of Scheduled Human Performers Sequence (0040,4034) in created UPS."
"dcmUPSScheduledHumanPerformerOrganization","Scheduled Human Performer Organization","Value of Human Performer's Organization (0040,4036) in Item of Scheduled Human Performers Sequence (0040,4034) in created UPS."
"dcmUPSIncludeStudyInstanceUID","Include Study Instance UID","Indicates if Study Instance UID (0020,000D) shall be included in the created UPS"
